ID,Discovered Item,Framework Theme,Reference,Grey lit,Topic: Site remediation,Topic: Water mgt,Topic: Waste / sanitation,Topic: Workplace,Topic: Emissions,Topic: Chem Alt,Topic: Pub Health,Topic: Emerg / Disaster,Topic: Unspecified,Dev org: Gov't,Dev org: NGO,Dev org: Industry,Dev org: Academic,Disagree,Difficult,Guidance1,Guidance2,Context,Judgement,Unique,No code,Problem,Desirable effects,Undesirable effects,Certainty of evidence,Values,Balance of effects,Resources required,Cost effectiveness,Equity,Acceptability,Feasibility
242,Achieve the goal and objective through providing the greatest good for the greatest number,Ethical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
243,Minimize harm to the general population,Ethical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
244,Minimize harm to the vulnerable population,Ethical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
245,Protect human rights and individual autonomy,Ethical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
246,Come closest to ensuring a fair distribution of benefits and burdens,Ethical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
247,"Most proportional response, if compulsion or coercion is needed",Ethical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
248,"Most justifiable to the various political officials you report to, in terms of their professed values and demands",Political considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
249,"Most justifiable to the people in the affected community, in terms of their professed values and demands",Political considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
250,"Cause least infringement on the community’s views on personal autonomy, basic human rights, and individual/community liberties",Political considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
251,Least likely to exceed the personnel budget provided for this situation,Logistical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
252,Least likely to exceed the materials and supplies budget provided for this intervention,Logistical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
253,Most effective in solving the problem,Logistical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
254,Provide the best cost-effectiveness ratio,Logistical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
255,Can be done fastest without decreasing effectiveness,Logistical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
256,Do any of the proposed interventions feature courses of action that may be against the law?,Logistical considerations,Kayman 2016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
257,Origin of/reason for request (Who requested the review? What was their rationale? What is their responsibility/mandate?),Contextual factors,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
258,Incidence/prevalence (What is the burden of disease?),Contextual factors,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
259,"Availability of comparable alternatives (List the available technologies (including drugs), devices, and interventions that are considered alternatives.)",Contextual factors,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
260,"Decisions by other jurisdictions (What have other jurisdictions (provinces, countries) done with respect to the technology, device, or intervention being studied?)",Contextual factors,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
261,"Stakeholders and potential conflicts of interest (Who are the key stakeholders, and what conflicts of interest might be at play with respect to the technology, device, or intervention being studied?)",Contextual factors,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
262,"Types of analyses conducted (Options: Evidence-Based Analysis, Rapid Review, Expert Consultation, other (please describe).)",Contextual factors,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,"Affiliation of author(s) (Examples: Health Quality Ontario, PATH Research Institute, THETA Collaborative)",Contextual factors,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
264,"Cost considerations (What are the relevant cost considerations associated with implementing this technology/intervention (e.g., budget impact)?)",Health system feasibility ,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
265,"Organizational implications (What are the relevant non-cost implications (e.g., logistical, human resources) associated with implementing this technology/intervention?)",Health system feasibility ,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
266,"Benefit (magnitude, certainty)",Benefits and Harms,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
267,"Harm (magnitude, certainty)",Benefits and Harms,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
268,Patient perspective (Strongly for/against or not a determinant),Benefits and Harms,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
269,Value for money (cost-effectiveness),Economics ,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
270,"Adequacy (Appropriateness of cost and outcome measures, Comprehensiveness of cost and outcome valuation/aggregation)",Economics ,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
271,"Patients: values & preferences (Aligned with patient values & preferences, Consistent with commitments to autonomy, privacy, confidentiality)",Patient-Centered Care,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
272,"Populations: Equity & Coordinated Care (Enhances equity in access or outcomes, Coordinates care)",Patient-Centered Care,Krahn 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
273,"Groundwater (or surface water) microbial pollution, e.g. of concern where the water supply is from a local well",Exposure to health hazards,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
274,Exposure to fecal matter during use,Exposure to health hazards,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
275,Exposure to fecal matter during waste collection,Exposure to health hazards,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
276,Users’ accessibility (convenience),Accessibility,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
277,"Reuse centers’ accessibility; applicable to the facilities with direct reuse of on-site toilet products, e.g. eco-san, bio-latrine",Accessibility,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
278,Water supply reliability,Reliability,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
279,Users’ operation reliability,Reliability,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
280,System maintainability,Reliability,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,Compatibility of the system with population growth and/or prospective water supply coverage,Resilience,Malekpour 2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282,flammability,Physical chemical hazards,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
283,flashpoint,Physical chemical hazards,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
284,explosive limits,Physical chemical hazards,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
285,auto-ignitability temperature,Physical chemical hazards,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
286,oxidizing properties,Physical chemical hazards,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
287,Toxicity: acute toxicity,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
288,Toxicity: carcinogenicity,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
289,Toxicity: developmental toxicity,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
290,Toxicity: reproductive toxicity,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
291,Toxicity: endocrine disruption,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
292,Toxicity: epigenetic disruption,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
293,Toxicity: genotoxicity,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
294,"Toxicity: organ, tissue, or cellular toxicity not otherwise declared",Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
295,Human exposure: volume in manufacturing,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
296,Human exposure: volume in consumer use,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
297,Human exposure: extent of dispersive use,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
298,Human exposure: sensitive sub-population,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
299,Human exposure: persistence,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
300,Human exposure: bioaccumulation,Human health impact,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
301,"Adverse impacts: aquatic, animal, or plant species",Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
302,Adverse impacts: aquatic and terrestrial ecosystems,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
303,Adverse impacts: endangered or threatened species,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
304,Adverse impacts: environmentally sensitive habitats,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
305,Exposure: volume in manufacturing,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
306,Exposure: volume in consumer use,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
307,Exposure: extent of dispersive use,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
308,Exposure: persistence,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
309,Exposure: bioaccumulation,Ecological impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
310,Media impacts: adverse air quality: nitrogen oxides,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
311,Media impacts: adverse air quality: sulfur oxides,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
312,Media impacts: adverse air quality: greenhouse gasses,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
313,Media impacts: adverse air quality: ozone depleting compounds,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
314,Media impacts: adverse air quality: photochemically reactive compounds,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
315,Media impacts: adverse air quality: particulate matter,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
316,Media impacts: adverse air quality: fine particulate matter,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
317,Media impacts: adverse water quality impacts: biological oxygen demand,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
318,Media impacts: adverse water quality impacts: total dissolved solids,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
319,Media impacts: adverse water quality impacts: thermal pollution,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
320,Media impacts: adverse soil quality impacts: chemical contamination,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
321,Media impacts: adverse soil quality impacts: biological contamination,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
322,Media impacts: adverse soil quality impacts: loss of organic matter,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
323,Media impacts: adverse soil quality impacts: erosion,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
324,Natural resource use: non-renewable material use,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
325,Natural resource use: renewable material use,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
326,Natural resource use: water use,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
327,Natural resource use: energy use,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
328,Natural resource use: waste generation and end-of-life disposal,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
329,Natural resource use: reusability and recyclability,Environmental impacts,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
330,Functionality,Technical feasibility,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
331,Reliability,Technical feasibility,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
332,Usability,Technical feasibility,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
333,Maintainability,Technical feasibility,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
334,Efficiency,Technical feasibility,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
335,Manufacturer impact,Economic feasibility,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
336,Purchaser impact,Economic feasibility,Malloy 2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
337,Likelihood of consumers performing the action (how difficult it is for the consumer to make this change in their day to day life),Feasibility ,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
338,Immediacy of the action ,Feasibility ,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
339,Financial impact on consumer,Economic impacts,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
340,Financial impact on infrastructure or business ,Economic impacts,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
341,Carbon impact for consumer,Environmental impact,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
342,Carbon impact of production,Environmental impact,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
343,Water consumption impact through product manufacturing and consumer use,Environmental impact,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
344,Other impacts specific to the action that need to be factored in (e.g. ecological impact of harvesting an alternative material),Other environmental unintended consequences,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
345,Reduction in the volume of plastic litter entering the environment ,Potential scale of change,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
346,Examples showing potential effectiveness (e.g. pilot study/use in a particular country or region),Evidence of impact,Marazzi 2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
347,Physical hazard potential,Chemical properties,Mitchell 2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
348,Persistence,Chemical properties,Mitchell 2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
349,Bioaccumulations potential,Chemical properties,Mitchell 2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
350,"ADME (Absorption, Distribution, Metabolism, and Elimination)",Chemical properties,Mitchell 2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
351,Production,Life cycle properties,Mitchell 2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
352,Consumer use,Life cycle properties,Mitchell 2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
353,Disposal,Life cycle properties,Mitchell 2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
354,The degradation half-life in marine water,Persistence,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
355,The degradation half-life in fresh or estuarine water,Persistence,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
356,The degradation half-life in marine sediment,Persistence,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
357,The degradation half-life in fresh or estuarine water sediment,Persistence,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
358,The degradation half-life in soil,Persistence,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
359,Bioconcentration factor in aquatic species,Bioaccumulation,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
360,The long-term no-observed effect concentration (NOEC) or ECx0 for marine or freshwater organisms,Toxicity,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
361,"The substance meets the criteria for classification as carcinogenic (category xA or xB), mutagenic (category xA or xB), or toxic for reproduction (category xA, xB, or 2) according to Regulation EC No x272/2008",Toxicity,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
362,"There is other evidence of chronic toxicity, as identified by the substance meeting the criteria for classification: specific target organ toxicity after repeated exposure (STOT RE cat x or 2) according to Regulation EC No x272/20x0",Toxicity,Moermond 2012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
363,benefit or contribute to society (justification),,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
364,use the least intrusive means necessary to accomplish the objectives (optimization),,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
365,anticipate and avoid or minimize potential adverse consequences (minimization of harm),,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
366,"Individual autonomy (informed consent - The monitoring program’s policy, procedures, and objectives are disclosed in clear and understandable terms, and the policy, procedures, and objectives are, in fact, understood by the employees)",ethical values,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
367,Cultural sensitivity (Engage a variety of stakeholders from varying cultural perspectives to develop culturally sensitive monitoring programs),ethical values,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
368,Individual control (Promote the individual’s control over his/her own information by protecting against intrusions into informational privacy),ethical values,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
369,"Employer interests (Promote the employer’s legitimate interest in organizational security, productivity and favorable reputation)",ethical values,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
370,Fairness (Clarify ownership of and accountability for information collected),ethical values,Morley 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
371,Constitutes an extraordinary event,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
372,Public health risk to other states via international spread,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
